,original_language,original_title,popularity,title,vote_average,vote_count
153,en,Finding Nemo,86.108,Finding Nemo,7.825,18160
154,ja,羅生門,20.667,Rashomon,8.122,1978
155,en,The Elephant Man,20.369,The Elephant Man,8.047,3188
156,en,Chinatown,36.96,Chinatown,7.921,3471
157,ja,ハウルの動く城,93.921,Howl's Moving Castle,8.403,8816
158,en,Dial M for Murder,18.313,Dial M for Murder,8.016,2364
159,en,Gone with the Wind,32.429,Gone with the Wind,7.966,3722
160,en,V for Vendetta,42.389,V for Vendetta,7.896,13638
161,en,Raging Bull,21.003,Raging Bull,7.955,3914
162,en,Prisoners,34.4,Prisoners,8.092,10836
163,en,"Lock, Stock and Two Smoking Barrels",15.731,"Lock, Stock and Two Smoking Barrels",8.125,6122
164,es,El secreto de sus ojos,20.5,The Secret in Their Eyes,7.987,2318
165,en,Inside Out,95.575,Inside Out,7.921,19561
166,en,Spider-Man: No Way Home,219.18,Spider-Man: No Way Home,7.987,18452
167,en,"Three Billboards Outside Ebbing, Missouri",24.076,"Three Billboards Outside Ebbing, Missouri",8.08,9482
168,en,The Bridge on the River Kwai,16.669,The Bridge on the River Kwai,7.833,1878
169,en,Trainspotting,26.416,Trainspotting,7.969,9069
170,en,Fargo,51.65,Fargo,7.9,7344
171,en,Warrior,40.236,Warrior,7.838,4210
172,en,Gran Torino,31.604,Gran Torino,7.994,10066
173,en,Catch Me If You Can,58.484,Catch Me If You Can,7.971,14495
174,ja,となりのトトロ,58.275,My Neighbor Totoro,8.07,7199
175,en,Million Dollar Baby,25.979,Million Dollar Baby,7.956,8935
176,en,Klaus,25.334,Klaus,8.245,3568
177,en,Harry Potter and the Deathly Hallows: Part 2,112.127,Harry Potter and the Deathly Hallows: Part 2,8.104,19293
178,fa,بچه‌های آسمان,15.359,Children of Heaven,7.941,548
179,en,Blade Runner,57.576,Blade Runner,7.933,12866
180,en,12 Years a Slave,37.456,12 Years a Slave,7.945,10664
181,en,Before Sunrise,25.429,Before Sunrise,7.969,3756
182,en,The Grand Budapest Hotel,37.67,The Grand Budapest Hotel,8.051,13880
183,en,The Gold Rush,16.912,The Gold Rush,8.02,1442
184,en,Ben-Hur,32.016,Ben-Hur,7.867,2484
185,en,Barry Lyndon,20.47,Barry Lyndon,8.006,2563
186,en,Gone Girl,80.411,Gone Girl,7.893,17483
187,en,Hacksaw Ridge,125.34,Hacksaw Ridge,8.194,12775
188,en,On the Waterfront,15.537,On the Waterfront,7.938,1421
189,en,In the Name of the Father,20.131,In the Name of the Father,7.894,1593
190,ko,살인의 추억,25.994,Memories of Murder,8.061,3384
191,en,The General,11.631,The General,7.97,1096
192,en,The Deer Hunter,26.404,The Deer Hunter,7.999,3441
193,sv,Smultronstället,13.603,Wild Strawberries,8.127,1487
194,es,Relatos salvajes,22.245,Wild Tales,7.866,3101
195,en,The Third Man,18.628,The Third Man,7.947,1689
196,fr,Le Salaire de la peur,17.474,The Wages of Fear,8.017,812
197,en,Sherlock Jr.,13.915,Sherlock Jr.,8.08,864
198,en,Dead Poets Society,36.081,Dead Poets Society,8.313,10387
199,en,Mad Max: Fury Road,63.606,Mad Max: Fury Road,7.583,21010
200,en,"Monsters, Inc.",129.527,"Monsters, Inc.",7.835,17294
201,en,Mr. Smith Goes to Washington,13.767,Mr. Smith Goes to Washington,7.874,940
202,en,Jaws,52.986,Jaws,7.659,9621
203,en,How to Train Your Dragon,62.955,How to Train Your Dragon,7.814,12164
204,en,Mary and Max,15.283,Mary and Max,7.873,1786
205,sv,Det sjunde inseglet,26.185,The Seventh Seal,8.195,2722
206,en,Ford v Ferrari,51.305,Ford v Ferrari,8.009,7053
207,en,Room,24.038,Room,8.031,8722
