,Title,Tomatometer,Audience_Score
190,The Wages of Fear,95%,95%
191,Sherlock Jr.,95%,95%
192,Dead Poets Society,84%,92%
193,Mad Max: Fury Road,97%,86%
194,"Monsters, Inc.",96%,90%
195,Mr. Smith Goes to Washington,94%,94%
196,Jaws,97%,90%
197,How to Train Your Dragon,99%,91%
198,Mary and Max,92%,92%
199,The Seventh Seal,93%,93%
200,Ford v Ferrari,92%,98%
201,Room,93%,93%
202,The Big Lebowski,80%,93%
203,Tokyo Story,93%,93%
204,Ratatouille,96%,87%
205,Rocky,92%,69%
206,Hotel Rwanda,91%,94%
207,Logan,94%,90%
208,The Passion of Joan of Arc,93%,93%
209,Spotlight,97%,93%
210,Platoon,89%,93%
211,The Terminator,100%,89%
212,Jai Bhim,100%,100%
213,Before Sunset,94%,92%
214,Rush,88%,88%
215,Network,92%,93%
216,The Exorcist,78%,87%
217,The Best Years of Our Lives,93%,93%
218,Stand by Me,92%,94%
219,La haine,95%,95%
220,The Wizard of Oz,98%,89%
221,Pirates of the Caribbean: The Curse of the Black Pearl,80%,86%
222,The Incredibles,97%,75%
223,Into the Wild,83%,89%
224,My Father and My Son,97%,97%
225,To Be or Not to Be,93%,93%
226,The Handmaiden,91%,91%
227,The Grapes of Wrath,88%,88%
228,The Battle of Algiers,95%,95%
229,Groundhog Day,94%,88%
230,Amores Perros,93%,94%
231,Rebecca,92%,92%
232,The Sound of Music,83%,91%
233,Cool Hand Luke,100%,95%
234,Pather Panchali,93%,93%
235,The Iron Giant,96%,90%
236,It Happened One Night,93%,93%
237,The Help,76%,89%
238,The 400 Blows,94%,94%
239,Persona,94%,94%
240,Life of Brian,96%,93%
241,Aladdin,95%,92%
242,Avengers: Infinity War,85%,92%
243,The Shining,83%,93%
244,The Great Dictator,92%,95%
245,Witness for the Prosecution,95%,95%
246,Paths of Glory,96%,95%
247,Inside Out,98%,89%
248,Hachi: A Dog's Tale,64%,84%
249,Gangs of Wasseypur,94%,90%
